Time,"Temp:Acpitz,0","Temp:Acpitz,1","Temp:Acpitz,2","Temp:Acpitz,3","Temp:Edge,0","Temp:Local_F75303@4D,0","Temp:Cpu_F75303@4D,0","Temp:Ddr_F75303@4D,0","Temp:Cpu@4C,0","Temp:Iwlwifi_1,0","Temp:Tctl,0","Temp:Composite,0","Temp:Sensor1,0","Temp:Sensor2,0","Temp:Spd5118,0","Temp:Spd5118,1",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,"Fan:cros_ec,0","Fan:framework_laptop,0"
2025-03-17_13:03:42,40.8,40.8,35.8,48.8,47.0,40.9,40.9,35.9,48.9,28.0,49.4,42.9,36.9,37.9,43.5,38.0,720.8,400.0,400.0,1308.2,400.0,400.0,400.0,1397.3,1347.1,400.0,400.0,400.0,1397.1,7.7,0.0,0.0,3.7,0.0,0.0,0.0,77.8,0.0,0.0,0.0,0.0,7.1,2194,2194
2025-03-17_13:03:44,40.8,40.8,36.8,48.8,48.0,40.9,40.9,36.9,48.9,29.0,49.0,42.9,36.9,37.9,43.5,38.0,1647.9,2391.2,2395.1,2395.2,2396.8,1336.7,400.0,2395.2,400.0,1362.2,400.0,2395.2,2394.8,4.5,2.9,2.9,3.4,2.9,2.5,3.4,12.4,1.9,4.4,2.0,8.7,4.9,2199,2199
2025-03-17_13:03:46,40.8,40.8,36.8,47.8,49.0,40.9,40.9,36.9,47.9,28.0,49.2,42.9,36.9,37.9,43.5,38.0,1198.9,2396.0,400.0,400.0,400.0,1330.3,1329.3,2395.4,2293.8,1330.0,400.0,400.0,1327.4,4.7,3.4,3.5,5.5,2.0,3.0,0.0,10.4,5.9,5.0,2.9,7.0,6.9,2199,2199
2025-03-17_13:03:48,40.8,40.8,35.8,49.8,50.0,40.9,40.9,35.9,49.9,28.0,53.5,42.9,36.9,37.9,43.5,38.0,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,57.0,56.4,56.1,56.4,55.7,56.7,55.2,64.5,58.6,56.4,55.0,58.1,55.7,2194,2194
2025-03-17_13:03:50,40.8,40.8,36.8,58.8,51.0,40.9,40.9,36.9,58.9,27.0,60.0,42.9,36.9,38.9,43.2,38.0,3467.9,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.3,3468.3,3468.4,3468.4,3468.4,3468.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2204,2204
2025-03-17_13:03:52,40.8,40.8,36.8,60.8,52.0,40.9,40.9,36.9,60.9,28.0,61.8,42.9,36.9,37.9,43.2,38.0,3468.2,3468.4,3468.4,3468.4,3468.4,3468.4,3468.4,3468.0,3468.4,3468.3,3468.3,3468.3,3468.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2199,2199
2025-03-17_13:03:54,40.8,40.8,36.8,62.8,56.0,40.9,40.9,36.9,62.9,28.0,64.8,42.9,36.9,37.9,43.2,38.0,4105.2,4083.2,4083.2,4082.9,4082.9,4083.1,4083.1,4082.7,4083.2,4083.1,4083.0,4083.0,4083.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2209,2209
2025-03-17_13:03:56,40.8,40.8,36.8,84.8,66.0,40.9,40.9,36.9,84.8,27.0,89.6,42.9,36.9,37.9,43.2,38.0,4418.6,4415.9,4415.9,4415.9,4415.9,4415.9,4416.0,4416.0,4416.0,4416.0,4415.9,4416.0,4415.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2209,2209
2025-03-17_13:03:58,40.8,41.8,36.8,96.8,67.0,40.9,41.9,36.9,96.8,28.0,97.8,42.9,36.9,37.9,43.2,38.0,4266.8,4266.7,4266.8,4266.8,4266.8,4266.8,4266.8,4266.8,4266.9,4266.7,4266.7,4266.7,4266.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2204,2204
2025-03-17_13:04:00,40.8,41.8,36.8,92.8,66.0,40.9,41.9,36.9,92.8,29.0,92.4,42.9,36.9,37.9,43.2,38.0,4191.9,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,4192.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.5,100.0,100.0,2214,2214
